x,y,v,kappa,s
-17.561,78.474,3.808,0.2017,116.4373
-17.382,78.386,3.592,-0.4547,116.6373
-17.211,78.281,3.362,-0.1785,116.8369
-17.045,78.171,3.115,0.1984,117.0369
-16.874,78.067,2.848,0.5174,117.2365
-16.694,77.981,2.552,-1.3559,117.4362
-16.542,77.851,2.985,0.0662,117.6362
-16.389,77.722,3.363,0.3292,117.8362
-16.228,77.605,3.443,-0.0037,118.0358
-16.067,77.487,3.204,-0.86,118.2348
-15.928,77.343,2.967,1.0027,118.4348
-15.764,77.23,3.347,-0.6245,118.6346
-15.615,77.097,3.687,-0.1238,118.8339
-15.469,76.96,3.999,0.2274,119.0337
-15.317,76.83,4.288,0.1458,119.2337
